Epoch,Best Candidate,Mean Fitness,
329,508,475.126,
330,508,474.802,
331,508,477.636,
332,508,473.78,
333,508,475.978,
334,508,468.804,
335,508,473.118,
336,508,473.634,
337,508,476.892,
338,508,469.324,
339,508,473.668,
340,508,474.812,
341,508,475.514,
342,508,475.792,
343,508,472.704,
344,508,477.496,
345,508,473.068,
346,508,480.374,
347,508,478.206,
348,508,477.648,
349,508,478.082,
350,508,474.126,
351,508,477.682,
352,508,472.852,
353,509,475.926,
354,509,470.828,
355,509,475.866,
356,509,479.38,
357,509,477.276,
358,510,483.964,
359,510,476.362,
360,510,476.048,
361,510,475.444,
362,510,467.712,
363,510,473.092,
364,510,473.12,
365,510,474.964,
366,510,477.988,
367,510,475.858,
368,510,462.532,
369,510,471.118,
370,510,473.686,
371,510,475.578,
372,510,477.736,
373,511,477.502,
374,511,472.194,
375,511,476.738,
376,511,472.536,
377,511,480.694,
378,511,475.93,
379,511,479.872,
380,511,477.776,
381,512,483.69,
382,512,481.85,
383,512,478.67,
384,512,480.742,
385,512,473.234,
386,512,473.488,
387,512,470.246,
388,512,473.406,
389,512,473.934,
390,512,478.794,
391,512,474.482,
392,512,479.924,
393,512,475.528,
394,513,467.848,
395,513,474.354,
396,513,474.118,
397,513,474.928,
398,513,477.666,
399,514,474.536,
400,514,469.65,
401,514,475.064,
402,515,479.81,
403,515,466.948,
404,515,466.362,
405,515,476.714,
406,515,470.77,
407,515,472.16,
408,515,464.292,
409,515,468.866,
410,515,477.148,
411,517,473.606,
412,517,478.476,
413,517,480.41,
414,518,481.126,
415,520,478.57,
416,521,477.336,
417,521,476.846,
418,521,476.096,
419,524,477.224,
420,524,472.968,
421,526,481.696,
422,526,478.998,
423,526,481.774,
424,527,474.508,
425,527,475.22,
426,527,477.968,
427,530,475.832,
428,531,477.432,
429,531,476.032,
430,531,477.782,
431,531,482.566,
432,534,481.0,
433,536,483.884,
434,536,485.23,
435,536,485.966,
436,552,489.194,
437,552,490.058,
438,552,483.82,
439,552,487.45,
440,552,482.718,
441,552,484.224,
442,552,481.164,
